<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2025-10-01,BUMI,149.0,164.0,148.0,161.0,8086835900
2025-10-02,BUMI,163.0,167.0,156.0,163.0,5836304600
2025-10-03,BUMI,164.0,168.0,160.0,161.0,3401965900
2025-10-06,BUMI,162.0,164.0,149.0,150.0,6865926600
2025-10-07,BUMI,151.0,155.0,143.0,144.0,6120027600
2025-10-08,BUMI,145.0,147.0,138.0,142.0,2779260000
2025-10-09,BUMI,151.0,153.0,140.0,142.0,4506268000
2025-10-10,BUMI,143.0,145.0,134.0,138.0,4756769400
2025-10-13,BUMI,135.0,145.0,134.0,142.0,3787180900
2025-10-14,BUMI,145.0,150.0,134.0,137.0,5092600800
2025-10-15,BUMI,139.0,141.0,134.0,136.0,2141100100
2025-10-16,BUMI,137.0,139.0,135.0,136.0,969257100
2025-10-17,BUMI,136.0,137.0,126.0,128.0,2484373500
2025-10-20,BUMI,130.0,132.0,128.0,130.0,1208848800
2025-10-21,BUMI,131.0,137.0,131.0,132.0,1333397800
2025-10-22,BUMI,132.0,137.0,130.0,136.0,1300117300
2025-10-23,BUMI,136.0,137.0,132.0,133.0,1010560900
2025-10-24,BUMI,133.0,138.0,133.0,134.0,1021352700
2025-10-27,BUMI,135.0,137.0,128.0,132.0,1246959300
2025-10-28,BUMI,135.0,141.0,134.0,141.0,2729257600
2025-10-29,BUMI,143.0,145.0,138.0,139.0,2230281600
2025-10-30,BUMI,139.0,143.0,138.0,141.0,1234558000
2025-10-31,BUMI,141.0,145.0,140.0,142.0,1634337100
2025-11-03,BUMI,143.0,144.0,140.0,141.0,1007456200
2025-11-04,BUMI,141.0,146.0,139.0,140.0,2482810900
2025-11-05,BUMI,138.0,143.0,137.0,142.0,835782800
2025-11-06,BUMI,142.0,145.0,141.0,141.0,1067529600
2025-11-07,BUMI,142.0,143.0,140.0,141.0,887304600
2025-11-10,BUMI,142.0,150.0,141.0,150.0,3425993000
2025-11-11,BUMI,151.0,202.0,150.0,198.0,28600582500
2025-11-12,BUMI,197.0,206.0,187.0,192.0,18408147500
2025-11-13,BUMI,194.0,240.0,189.0,224.0,20660901900
2025-11-14,BUMI,224.0,244.0,216.0,220.0,17280324400
2025-11-17,BUMI,222.0,232.0,218.0,222.0,8428653200
2025-11-18,BUMI,222.0,224.0,206.0,214.0,7344771600
2025-11-19,BUMI,220.0,238.0,216.0,228.0,14168826000
2025-11-20,BUMI,230.0,234.0,224.0,226.0,5842229700
2025-11-21,BUMI,224.0,226.0,218.0,220.0,3825011300
2025-11-24,BUMI,224.0,224.0,218.0,218.0,2403308000
2025-11-25,BUMI,220.0,242.0,220.0,236.0,13274853700
2025-11-26,BUMI,240.0,266.0,236.0,260.0,18662707200
2025-11-27,BUMI,252.0,256.0,240.0,242.0,11236705400
2025-11-28,BUMI,244.0,246.0,236.0,244.0,3632328800
2025-12-01,BUMI,244.0,252.0,238.0,246.0,6434442600
2025-12-02,BUMI,248.0,248.0,242.0,242.0,1938684900
